2025-06 38 53
2025-07 25 41
2025-08 40 56
2025-09 71 66
2025-10 90 79
2025-11 101 84
2025-12 140 89
2026-01 171 89
2026-02 136 61
2026-03 33 66
2026-04 6 48
2026-05 6 56
